id,ig_date,ig_year,event_dur,fsr_km2_dy,mx_grw_km2
2415,2001-08-07,2001,17,5.12655419755,27.4763101819
2418,2001-08-07,2001,14,8.60167969424,50.8741055713
2419,2001-08-07,2001,10,30.2454070675,219.810481456
2421,2001-08-07,2001,9,2.33739444256,14.5967897842
2424,2001-08-07,2001,10,0.72983948921,2.36124540626
2427,2001-08-07,2001,1,0.2146586733,0.2146586733
2432,2001-08-08,2001,8,28.2007832043,156.486172833
2434,2001-08-08,2001,9,9.46883258874,25.9736994689
2438,2001-08-08,2001,3,0.1431057822,0.2146586733
2442,2001-08-09,2001,10,23.2260684507,123.214078472
2443,2001-08-09,2001,13,1.8163426202,6.43976019889
2447,2001-08-09,2001,10,22.9470121754,76.6331463668
2451,2001-08-10,2001,7,11.9288891303,37.1359504803
2452,2001-08-10,2001,11,0.91717796772,2.79056275285
2453,2001-08-10,2001,5,0.98742989716,3.64919744604
2454,2001-08-10,2001,1,0.42931734659,0.42931734659
2455,2001-08-10,2001,6,5.97466640675,24.2564300825
2458,2001-08-11,2001,1,0.85863469319,0.85863469319
2460,2001-08-11,2001,16,1.69043705221,9.87429897164
2462,2001-08-11,2001,20,6.56855540287,45.9369560854
2464,2001-08-12,2001,10,20.8648230444,108.402630015
2468,2001-08-12,2001,14,5.94911180279,22.1098433495
2469,2001-08-12,2001,19,0.71176296935,5.58112550571
2470,2001-08-12,2001,13,15.7031075619,63.5389672958
2474,2001-08-12,2001,5,0.55811255057,1.71726938637
2478,2001-08-12,2001,3,3.43453877274,5.15180815912
2480,2001-08-12,2001,5,3.73506091536,10.0889576449
2483,2001-08-12,2001,7,2.63723512907,13.0941790711
2484,2001-08-12,2001,2,1.93192805967,3.64919744604
2485,2001-08-13,2001,6,2.50435118846,8.37168825856
2486,2001-08-13,2001,15,4.02127247975,24.4710887558
2487,2001-08-13,2001,2,3.64919744604,6.43976019889
2491,2001-08-13,2001,11,24.0417714092,103.465480529
2492,2001-08-13,2001,4,0.91229936151,1.93192805967
2493,2001-08-13,2001,1,0.85863469319,0.85863469319
2494,2001-08-13,2001,3,0.2862115644,0.42931734659
2495,2001-08-13,2001,9,1.28795203978,6.2251015256
2496,2001-08-13,2001,10,3.04815316081,7.94237091197
2497,2001-08-13,2001,11,0.64397601989,2.57590407956
2498,2001-08-13,2001,1,1.71726938637,1.71726938637
2499,2001-08-13,2001,6,8.33591181301,18.6753045768
2500,2001-08-13,2001,5,6.18216979094,25.329723449
2501,2001-08-13,2001,1,4.50783213923,4.50783213923
2502,2001-08-13,2001,2,1.50261071308,1.93192805967
2503,2001-08-13,2001,15,0.18603751686,1.07329336648
2504,2001-08-13,2001,15,0.60104428523,1.93192805967
2505,2001-08-13,2001,7,1.50261071308,7.08373621878
2506,2001-08-13,2001,10,7.70624637134,31.9841423212
2507,2001-08-13,2001,1,0.2146586733,0.2146586733
2508,2001-08-13,2001,10,2.66176754888,7.94237091197
2509,2001-08-14,2001,8,1.36844904227,8.58634693186
2510,2001-08-14,2001,13,0.49536616915,1.71726938637
2511,2001-08-14,2001,11,0.76106256896,5.3664668324100004
2513,2001-08-14,2001,4,0.69764068821,1.50261071308
2514,2001-08-14,2001,2,0.42931734659,0.42931734659
2516,2001-08-14,2001,3,1.07329336648,3.00522142615
2518,2001-08-14,2001,10,0.25759040796,0.64397601989
2519,2001-08-14,2001,12,1.59205182695,8.58634693186
2520,2001-08-14,2001,1,2.14658673296,2.14658673296
2522,2001-08-14,2001,10,12.4931347859,59.6751111764
2523,2001-08-14,2001,19,0.4406151715,3.64919744604
2525,2001-08-14,2001,3,0.64397601989,1.71726938637
2528,2001-08-15,2001,11,0.13660097392,0.2146586733
2530,2001-08-15,2001,6,3.64919744604,15.4554244773
2531,2001-08-15,2001,7,0.15332762378,0.2146586733
2532,2001-08-15,2001,8,1.66360471805,3.86385611934
